date,state,daily
2020-12-15,Malaysia,565
2020-12-16,Malaysia,482
2020-12-17,Malaysia,455
2020-12-18,Malaysia,456
2020-12-19,Malaysia,222
2020-12-20,Malaysia,312
2020-12-21,Malaysia,451
2020-12-22,Malaysia,511
2020-12-23,Malaysia,448
2020-12-24,Malaysia,363
2020-12-25,Malaysia,57
2020-12-26,Malaysia,141
2020-12-27,Malaysia,229
2020-12-28,Malaysia,399
2020-12-29,Malaysia,523
2020-12-30,Malaysia,406
2020-12-31,Malaysia,339
2021-01-01,Malaysia,21
2021-01-02,Malaysia,48
2021-01-03,Malaysia,114
2021-01-04,Malaysia,264
2021-01-05,Malaysia,332
2021-01-06,Malaysia,280
2021-01-07,Malaysia,410
2021-01-08,Malaysia,398
2021-01-09,Malaysia,229
2021-01-10,Malaysia,200
2021-01-11,Malaysia,482
2021-01-12,Malaysia,473
2021-01-13,Malaysia,454
2021-01-14,Malaysia,417
2021-01-15,Malaysia,318
2021-01-16,Malaysia,93
2021-01-17,Malaysia,239
2021-01-18,Malaysia,443
2021-01-19,Malaysia,523
2021-01-20,Malaysia,548
2021-01-21,Malaysia,470
2021-01-22,Malaysia,299
2021-01-23,Malaysia,85
2021-01-24,Malaysia,223
2021-01-25,Malaysia,453
2021-01-26,Malaysia,452
2021-01-27,Malaysia,466
2021-01-28,Malaysia,264
2021-01-29,Malaysia,271
2021-01-30,Malaysia,78
2021-01-31,Malaysia,195
2021-02-01,Malaysia,421
2021-02-02,Malaysia,486
2021-02-03,Malaysia,485
2021-02-04,Malaysia,445
2021-02-05,Malaysia,340
2021-02-06,Malaysia,97
2021-02-07,Malaysia,217
2021-02-08,Malaysia,455
2021-02-09,Malaysia,432
2021-02-10,Malaysia,439
2021-02-11,Malaysia,309
2021-02-12,Malaysia,12
2021-02-13,Malaysia,33
2021-02-14,Malaysia,54
2021-02-15,Malaysia,428
2021-02-16,Malaysia,489
2021-02-17,Malaysia,590
2021-02-18,Malaysia,521
2021-02-19,Malaysia,381
2021-02-20,Malaysia,127
